"customer","cc_num","last_activity","next_transaction","gap_days"
"Briana Santos","3511058278399773","2020-11-10 02:30:14","2020-11-23 06:19:18","13"
"George Floyd","630471368021","2020-07-27 10:16:23","2020-08-07 16:14:17","11"
"Bradley Anderson","3542162746848552","2020-10-01 23:58:04","2020-10-12 23:52:32","10"
"Thomas Mathis","2284059275940012","2020-10-03 20:02:10","2020-10-13 01:10:49","9"
"Thomas Payne","3576144910346950","2020-10-29 01:53:53","2020-11-07 17:47:14","9"
"Ellen Carrillo","676314217768","2020-10-11 07:41:18","2020-10-20 14:40:47","9"
"Alex White","4725673654161314","2020-09-19 08:02:52","2020-09-28 17:56:49","9"
"Amy Abbott","4044436772018844508","2020-07-01 20:19:56","2020-07-10 00:34:22","8"
"Kimberly Webb","36890292963032","2020-11-06 15:03:00","2020-11-15 09:42:42","8"
"Tammie Harper","180094608895855","2020-10-14 05:52:23","2020-10-22 16:19:38","8"
"Debra Becker","371683116218417","2020-11-22 04:53:03","2020-11-30 07:47:20","8"
"Jasmine Wade","4633065159406313","2020-08-05 21:02:47","2020-08-14 18:06:56","8"
"John Williams","4914700582394237","2020-11-18 18:09:21","2020-11-27 08:56:50","8"
"Amy Garrett","2222157926772399","2020-10-19 14:10:25","2020-10-26 19:08:02","7"
"Tabitha Reyes","346208242862904","2020-10-11 12:36:47","2020-10-19 07:00:28","7"
"Kathleen Heath","2288748891690227","2020-09-27 14:21:41","2020-10-05 09:35:02","7"
"Christina Moore","2714019737356678","2020-07-19 16:31:21","2020-07-27 06:05:54","7"
"Craig Franco","213186880359195","2020-09-14 19:22:30","2020-09-22 05:26:07","7"
"Amanda Alexander","3527063666782582","2020-09-08 00:28:19","2020-09-15 09:51:40","7"
"Amanda Alexander","3527063666782582","2020-10-11 02:44:33","2020-10-18 12:25:54","7"
"Frederick Robinson","30510856607165","2020-10-06 20:20:53","2020-10-13 23:43:39","7"
"Jose Campbell","3561212938177173","2020-10-20 22:24:32","2020-10-28 15:32:45","7"
"Heather Stanton","630412733309","2020-11-16 18:41:18","2020-11-24 01:33:01","7"
"Leah Garner","3576511691045060","2020-07-10 15:59:53","2020-07-18 01:43:08","7"
"Tyler Small","3579200383632826","2020-08-15 06:43:13","2020-08-23 00:31:40","7"
"Gregory Wood","3581130339108561","2020-07-11 12:53:04","2020-07-18 23:53:27","7"
"Ashley Robinson","3592325941359225","2020-11-03 20:54:12","2020-11-11 08:46:17","7"
"Douglas Smith","3593399694467427","2020-09-01 18:04:22","2020-09-08 19:24:30","7"
"Ashley Mcdonald","4171397999167005","2020-11-24 02:32:36","2020-12-01 07:24:32","7"
"Alan Taylor","6523180720198790","2020-11-09 17:37:29","2020-11-17 08:45:29","7"
"Heather Stanton","630412733309","2020-09-20 10:58:35","2020-09-28 03:16:23","7"
"Randall Dillon","60495593109","2020-07-07 11:44:25","2020-07-14 18:12:27","7"
"Robert James","347612609554823","2020-10-19 21:25:13","2020-10-26 23:14:08","7"
"Jerry Perkins","6011581063717667","2020-10-21 18:22:18","2020-10-29 13:49:05","7"
"Gerald Anthony","379141394109214","2020-07-28 23:03:00","2020-08-05 01:50:51","7"
