"cc_num","customer","lifetime_total_spend"
"60416207185","Mary Diaz","90173.30"
"60422928733","Jeffrey Powers","76845.50"
"60423098130","Jason Gray","24903.84"
"60427851591","Bradley Martinez","41467.28"
"60487002085","David White","32680.66"
"60490596305","Karen Johnson","57957.46"
"60495593109","Randall Dillon","23602.46"
"501802953619","Robert Flores","71202.08"
"501828204849","Sandra Davies","24365.52"
"501831082224","Corey Jones","44128.10"
"501882822387","Melissa Phillips","28809.58"
"501899453424","Jessica Dominguez","93993.68"
"502012776709","Sherry Martinez","114409.66"
"502038091380","Kurt Peters","122440.86"
"502049568400","Daniel Melton","50084.92"
"503848303379","Gregory Wallace","73076.00"
"503874407318","Andrew Mcgee","127243.00"
"560881134780","Audrey Martinez","25432.68"
"561942763351","Melissa Brown","105844.70"
"565399283797","Anthony Allen","39894.98"
"567868110212","Dawn Tucker","182049.76"
"568279015842","Micheal Hernandez","72278.88"
"570273151375","Peter Edwards","25909.96"
"571314334723","Lori Mclean","26489.78"
"571365235126","Barbara Taylor","135733.68"
"571465035400","Louis Fisher","170272.06"
"571844099986","Susan Mills","82730.50"
"573283817795","Amy Flynn","27818.50"
"573860193545","Cristian Jones","100005.44"
"577588686219","James Strickland","97553.14"
"580954173374","Jessica Benitez","62039.00"
"581293083266","William Thomas","112203.10"
"581508178315","Michael Vargas","42815.02"
"581686439828","Larry House","139943.72"
"583699482621","Jennifer Jones","107057.72"
"584673555952","Jessica Jordan","112845.28"
"630412733309","Heather Stanton","23382.50"
"630423337322","Stephanie Gill","157367.96"
"630424987505","Jennifer Black","152759.28"
"630425673344","Bryan Miller","85243.12"
"630441765090","Susan Washington","103587.02"
"630451534402","Rachel Daniels","150529.82"
"630469040731","Meredith Ayala","99923.58"
"630471368021","George Floyd","36047.68"
"630484879808","Ian Patton","176410.98"
"639023984367","Destiny Lowe","138020.70"
"639030014711","Stephen Lopez","76605.42"
"639046421587","Dylan Bonilla","87170.50"
"639077309909","Justin Carter","24349.28"
"639095706599","Kyle Wilkinson","22205.68"
"675909898057","Christopher Henry","57042.94"
"675945690716","Ellen Smith","66237.06"
"675961917837","Christopher Cummings","17839.08"
"675990301623","Amanda Spencer","94784.84"
"676102124465","Natasha Mclaughlin","178388.18"
"676118385837","Katelyn Wise","48132.74"
"676148621961","Jennifer Vega","50523.62"
"676173792455","Brittany Cox","72535.16"
"676195318214","Brandy Quinn","96735.44"
"676234256292","David Vasquez","43598.20"
"676245600876","Ashley Blanchard","57289.04"
"676248282243","Amanda Wheeler","59396.80"
"676275912597","Edward Hensley","40406.38"
"676281772837","Alicia Bishop","82441.92"
"676292294938","Lisa Fitzpatrick","25065.34"
"676298633337","Jessica Werner","73453.96"
"676308307625","Donald Evans","25505.06"
"676309913934","Robert Martinez","47839.36"
"676314217768","Ellen Carrillo","38460.00"
"676326610042","Jacqueline Caldwell","40473.90"
"676369110710","David Wolfe","102127.10"
"676372984911","Vicki Mendoza","137979.98"
"4006047418382","Robert Sanchez","54984.60"
"4026222041577","Debbie Payne","28044.28"
"4066595222529","Jamie Olson","85171.14"
"4079773899158","Eric Preston","102656.54"
"4103158249977","Christopher Adkins","42366.62"
"4149635823017","Samuel Farrell","92393.40"
"4158008602445","Alicia Miller","26220.50"
"4169388510116","Marcia Molina","72846.26"
"4186530744674","Casey Howell","81863.70"
"4189814094741","Jason Farmer","26708.18"
"4195740185974","Benjamin Robinson","53532.44"
"4198470814557","Christie Williamson","108338.70"
"4220345354880","Patrick Torres","81936.80"
"4239436242473","James Leon","48897.04"
"4247921790666","Judith Moss","80048.42"
"4259996134423","Julie Johnson","59575.98"
"4260128500325","Whitney Gallagher","108081.54"
"4279161831637","Lisa Hendrix","53540.34"
"4294930380592","Misty Rivera","95474.44"
"4306630852918","Maureen Garza","67490.34"
"4383521454815","John Robertson","43785.82"
"4393520897625","Charles Rodriguez","91156.38"
"4396682467723","Scott Cole","25565.14"
"4427805710168","Michelle Rodriguez","60503.76"
"4440581794652","Karen Cooper","30851.50"
"4464457352619","Breanna Rodriguez","110571.06"
"4471568287204","Dakota Maldonado","51853.90"
"4476840372112","Steven Walters","79675.04"
"4481131401752","Frank Foster","49578.94"
"4500002361389","Joseph Nixon","115724.82"
"4505383113689","Alicia Hawkins","52761.70"
"4538566639857","Jerry Kelly","81809.22"
"4561546772499","Daniel Briggs","114339.06"
"4561892980175","Jacqueline Allen","56556.94"
"4562827002127","Christopher Johnson","47275.10"
"4585132874641","Karen Gordon","66142.40"
"4586260469584","Melody Thompson","105891.16"
"4600155880464","Charles Copeland","26856.24"
"4601636330889","Mark Rivera","60812.26"
"4605902936394","Vincent Mueller","51205.64"
"4613314721966","Jason Murphy","121721.10"
"4623560839669","Vincent Waller","97448.86"
"4640395708703","Melissa Krause","107185.68"
"4642894980163","Eddie Mendez","102068.20"
"4658117080136","Dwayne Martinez","52323.74"
"4681699462969","Joseph Gonzalez","116597.04"
"4683638447911","Daniel Boyd","161333.64"
"4687263141103","Sarah Cross","21924.40"
"4745996322265","Carrie Washington","204115.84"
"4755696071492","Robert Evans","137134.64"
"4760122961662","Robert Jordan","26059.24"
"4783226709001","Jessica Garcia","72602.18"
"4788103653396","Kristin Williams","66538.16"
"4806443445305","Eric Patel","29505.84"
"4807552641361","Kimberly Castro","24707.66"
"4809701904914","Sabrina Nolan","161313.52"
"4862293128558","Elizabeth Payne","92367.74"
"4900628639996","Michael Johnson","140781.74"
"4917226033950","Adam Keller","25192.82"
"4957924165498","Alan Parsons","61498.36"
"4981132848794","Joseph Spencer","82678.32"
"4988304376504","William Thompson","105718.08"
"4990494243023","Martin Ford","94313.32"
"30011465039817","Lisa Garcia","34873.60"
"30026790933302","John Peters","162034.36"
"30029052116970","Curtis Young","83085.64"
"30030380240193","William Jenkins","171539.38"
"30033162392091","Kevin Summers","77875.54"
"30042378430132","Connor Grant","26334.64"
"30044330818990","Allison Ayala","182377.26"
"30074693890476","Kelsey Richards","147364.70"
"30082025922891","Kathleen Thompson","93481.08"
"30092964733035","Jessica Terry","73368.22"
"30103132002433","Stephanie Middleton","77915.84"
"30118423745458","Jared Velazquez","102731.56"
"30131826429364","Brianna Foley","181745.56"
"30135235368675","Amanda Williams","110154.86"
"30143535920989","Lisa Collins","117299.52"
"30143713661454","Nicholas Thornton","57268.74"
"30150717898388","Raymond Lloyd","78936.28"
